Epoch 77, batch 77, Loss: 0.6710980534553528, Accuracy: 0.6323529411764706
Epoch 78, batch 78, Loss: 0.8344270586967468, Accuracy: 0.6911764705882353
Epoch 79, batch 79, Loss: 0.7088035941123962, Accuracy: 0.6176470588235294
Epoch 80, batch 80, Loss: 0.6657651662826538, Accuracy: 0.6176470588235294
Epoch 81, batch 81, Loss: 0.4928058087825775, Accuracy: 0.8382352941176471
Epoch 82, batch 82, Loss: 0.4852723479270935, Accuracy: 0.7794117647058824
Epoch 83, batch 83, Loss: 0.7397054433822632, Accuracy: 0.6470588235294118
Epoch 84, batch 84, Loss: 0.6537218689918518, Accuracy: 0.6176470588235294
Epoch 85, batch 85, Loss: 0.520213782787323, Accuracy: 0.75
Epoch 86, batch 86, Loss: 0.6861959099769592, Accuracy: 0.6176470588235294
Epoch 87, batch 87, Loss: 0.7188589572906494, Accuracy: 0.5735294117647058
Epoch 88, batch 88, Loss: 0.45319563150405884, Accuracy: 0.8676470588235294
Epoch 89, batch 89, Loss: 0.7707667946815491, Accuracy: 0.6911764705882353
Epoch 90, batch 90, Loss: 0.6096497178077698, Accuracy: 0.6764705882352942
Epoch 91, batch 91, Loss: 0.5114694833755493, Accuracy: 0.8088235294117647
Epoch 92, batch 92, Loss: 0.5215182304382324, Accuracy: 0.7647058823529411
Epoch 93, batch 93, Loss: 0.6685681343078613, Accuracy: 0.6323529411764706
Epoch 94, batch 94, Loss: 0.8327941298484802, Accuracy: 0.6029411764705882
Epoch 95, batch 95, Loss: 0.6846046447753906, Accuracy: 0.6470588235294118
Epoch 96, batch 96, Loss: 0.6719127893447876, Accuracy: 0.6617647058823529
Epoch 97, batch 97, Loss: 0.5495930314064026, Accuracy: 0.7941176470588235
Epoch 98, batch 98, Loss: 0.5840545296669006, Accuracy: 0.7205882352941176
Epoch 99, batch 99, Loss: 0.7369117736816406, Accuracy: 0.6617647058823529
Epoch 100, batch 100, Loss: 0.665381133556366, Accuracy: 0.7352941176470588
Epoch 101, batch 101, Loss: 0.6056263446807861, Accuracy: 0.6470588235294118
Epoch 102, batch 102, Loss: 0.7980886101722717, Accuracy: 0.5882352941176471
Epoch 103, batch 103, Loss: 0.6952735781669617, Accuracy: 0.6323529411764706
Epoch 104, batch 104, Loss: 0.5660033822059631, Accuracy: 0.7205882352941176
Epoch 105, batch 105, Loss: 0.7351500391960144, Accuracy: 0.6617647058823529
Epoch 106, batch 106, Loss: 0.6939074397087097, Accuracy: 0.6323529411764706
Epoch 107, batch 107, Loss: 0.558377206325531, Accuracy: 0.7647058823529411
Epoch 108, batch 108, Loss: 0.6134581565856934, Accuracy: 0.5735294117647058
Epoch 109, batch 109, Loss: 0.5481337308883667, Accuracy: 0.7941176470588235
Epoch 110, batch 110, Loss: 0.7013463377952576, Accuracy: 0.6176470588235294
Epoch 111, batch 111, Loss: 0.7825766205787659, Accuracy: 0.6470588235294118
Epoch 112, batch 112, Loss: 0.6056392192840576, Accuracy: 0.6029411764705882
Epoch 113, batch 113, Loss: 0.557475745677948, Accuracy: 0.7647058823529411
Epoch 114, batch 114, Loss: 0.5929595828056335, Accuracy: 0.6764705882352942
Epoch 115, batch 115, Loss: 0.496354341506958, Accuracy: 0.8088235294117647
Epoch 116, batch 116, Loss: 0.6046795845031738, Accuracy: 0.7352941176470588
Epoch 117, batch 117, Loss: 0.6287788152694702, Accuracy: 0.6764705882352942
Epoch 118, batch 118, Loss: 0.5518790483474731, Accuracy: 0.6911764705882353
Epoch 119, batch 119, Loss: 0.6561662554740906, Accuracy: 0.6176470588235294
Epoch 120, batch 120, Loss: 0.5984656810760498, Accuracy: 0.6911764705882353
Epoch 121, batch 121, Loss: 0.6026355028152466, Accuracy: 0.6764705882352942
Epoch 122, batch 122, Loss: 0.6068218350410461, Accuracy: 0.6323529411764706
Epoch 123, batch 123, Loss: 0.7491666674613953, Accuracy: 0.5294117647058824
Epoch 124, batch 124, Loss: 0.4663960933685303, Accuracy: 0.8235294117647058
Epoch 125, batch 125, Loss: 0.6611366271972656, Accuracy: 0.6911764705882353
Epoch 126, batch 126, Loss: 0.5177660584449768, Accuracy: 0.75
Epoch 127, batch 127, Loss: 0.7487079501152039, Accuracy: 0.5294117647058824
Epoch 128, batch 128, Loss: 0.5507308840751648, Accuracy: 0.7941176470588235
Epoch 129, batch 129, Loss: 0.5689670443534851, Accuracy: 0.7205882352941176
Epoch 130, batch 130, Loss: 0.5506554245948792, Accuracy: 0.7205882352941176
Epoch 131, batch 131, Loss: 0.3712257146835327, Accuracy: 0.9264705882352942
Epoch 132, batch 132, Loss: 0.39218613505363464, Accuracy: 0.9117647058823529
Epoch 133, batch 133, Loss: 0.6786956787109375, Accuracy: 0.6470588235294118
Epoch 134, batch 134, Loss: 0.6306791305541992, Accuracy: 0.6911764705882353
Epoch 135, batch 135, Loss: 0.6711543798446655, Accuracy: 0.6911764705882353
Epoch 136, batch 136, Loss: 0.5815396308898926, Accuracy: 0.7058823529411764
Epoch 137, batch 137, Loss: 0.5627436637878418, Accuracy: 0.6911764705882353
Epoch 138, batch 138, Loss: 0.6284887194633484, Accuracy: 0.6617647058823529
Epoch 139, batch 139, Loss: 0.5916714668273926, Accuracy: 0.6764705882352942
