Loading dataset...

Epoch 76, batch 76, Loss: 0.6009270548820496, Accuracy: 0.7205882352941176
Epoch 77, batch 77, Loss: 0.6834872961044312, Accuracy: 0.5882352941176471
Epoch 78, batch 78, Loss: 0.8794777989387512, Accuracy: 0.7647058823529411
Epoch 79, batch 79, Loss: 0.6943923830986023, Accuracy: 0.6323529411764706

Epoch 80, batch 80, Loss: 0.6952394843101501, Accuracy: 0.6176470588235294
Epoch 81, batch 81, Loss: 0.49189063906669617, Accuracy: 0.7794117647058824
Epoch 82, batch 82, Loss: 0.5154333710670471, Accuracy: 0.75
Epoch 83, batch 83, Loss: 0.8888741731643677, Accuracy: 0.6470588235294118
Epoch 84, batch 84, Loss: 0.694246768951416, Accuracy: 0.5735294117647058

Epoch 85, batch 85, Loss: 0.5512347221374512, Accuracy: 0.7794117647058824
Epoch 86, batch 86, Loss: 0.7935412526130676, Accuracy: 0.5735294117647058
Epoch 87, batch 87, Loss: 0.7792925238609314, Accuracy: 0.5294117647058824
Epoch 88, batch 88, Loss: 0.477604478597641, Accuracy: 0.8088235294117647
Epoch 89, batch 89, Loss: 1.0482759475708008, Accuracy: 0.7205882352941176

Epoch 90, batch 90, Loss: 0.7783052325248718, Accuracy: 0.6617647058823529
Epoch 91, batch 91, Loss: 0.5209840536117554, Accuracy: 0.8088235294117647
Epoch 92, batch 92, Loss: 0.5123847723007202, Accuracy: 0.7941176470588235
Epoch 93, batch 93, Loss: 0.8140267133712769, Accuracy: 0.6029411764705882
Epoch 94, batch 94, Loss: 1.0214117765426636, Accuracy: 0.6029411764705882

Epoch 95, batch 95, Loss: 0.6217134594917297, Accuracy: 0.6470588235294118
Epoch 96, batch 96, Loss: 0.8105461001396179, Accuracy: 0.7205882352941176
Epoch 97, batch 97, Loss: 0.5532105565071106, Accuracy: 0.7794117647058824
Epoch 98, batch 98, Loss: 0.6095450520515442, Accuracy: 0.7205882352941176
Epoch 99, batch 99, Loss: 0.5980550050735474, Accuracy: 0.6764705882352942

Epoch 100, batch 100, Loss: 0.6551991105079651, Accuracy: 0.6176470588235294
Epoch 101, batch 101, Loss: 0.700023889541626, Accuracy: 0.6764705882352942
Epoch 102, batch 102, Loss: 0.7193440198898315, Accuracy: 0.6764705882352942
Epoch 103, batch 103, Loss: 0.8373966813087463, Accuracy: 0.6176470588235294
Epoch 104, batch 104, Loss: 0.590934157371521, Accuracy: 0.6176470588235294

Epoch 105, batch 105, Loss: 0.6200451850891113, Accuracy: 0.6176470588235294
Epoch 106, batch 106, Loss: 0.6509860754013062, Accuracy: 0.6323529411764706
Epoch 107, batch 107, Loss: 0.5415172576904297, Accuracy: 0.7352941176470588
Epoch 108, batch 108, Loss: 0.5697593688964844, Accuracy: 0.7205882352941176
Epoch 109, batch 109, Loss: 0.5792726874351501, Accuracy: 0.75

Epoch 110, batch 110, Loss: 0.6198225617408752, Accuracy: 0.5735294117647058
Epoch 111, batch 111, Loss: 0.6051077842712402, Accuracy: 0.6911764705882353
Epoch 112, batch 112, Loss: 0.756921648979187, Accuracy: 0.6764705882352942
Epoch 113, batch 113, Loss: 0.5768647193908691, Accuracy: 0.7205882352941176
Epoch 114, batch 114, Loss: 0.5914592146873474, Accuracy: 0.6911764705882353

Epoch 115, batch 115, Loss: 0.43935051560401917, Accuracy: 0.7941176470588235
Epoch 116, batch 116, Loss: 0.5369080901145935, Accuracy: 0.7205882352941176
Epoch 117, batch 117, Loss: 0.7153773903846741, Accuracy: 0.6176470588235294
Epoch 118, batch 118, Loss: 0.5532369613647461, Accuracy: 0.75
Epoch 119, batch 119, Loss: 0.7511286735534668, Accuracy: 0.5882352941176471

Epoch 120, batch 120, Loss: 0.5195739269256592, Accuracy: 0.7205882352941176
Epoch 121, batch 121, Loss: 0.59462571144104, Accuracy: 0.6764705882352942
Epoch 122, batch 122, Loss: 0.5595669746398926, Accuracy: 0.6764705882352942
Epoch 123, batch 123, Loss: 0.7028455138206482, Accuracy: 0.5
Epoch 124, batch 124, Loss: 0.4635200798511505, Accuracy: 0.8088235294117647

Epoch 125, batch 125, Loss: 0.8338795304298401, Accuracy: 0.6176470588235294
Epoch 126, batch 126, Loss: 0.5418779253959656, Accuracy: 0.7058823529411764
Epoch 127, batch 127, Loss: 0.6697802543640137, Accuracy: 0.5735294117647058
Epoch 128, batch 128, Loss: 0.506300687789917, Accuracy: 0.7794117647058824
Epoch 129, batch 129, Loss: 0.5433452725410461, Accuracy: 0.7352941176470588

Epoch 130, batch 130, Loss: 0.541729211807251, Accuracy: 0.7205882352941176
Epoch 131, batch 131, Loss: 0.41133835911750793, Accuracy: 0.8823529411764706
Epoch 132, batch 132, Loss: 0.38751375675201416, Accuracy: 0.8823529411764706
Epoch 133, batch 133, Loss: 0.8950905203819275, Accuracy: 0.5588235294117647
Epoch 134, batch 134, Loss: 0.5970180630683899, Accuracy: 0.7058823529411764

Epoch 135, batch 135, Loss: 0.6994573473930359, Accuracy: 0.6911764705882353
Epoch 136, batch 136, Loss: 0.6260477304458618, Accuracy: 0.6470588235294118
