Loading dataset...

Epoch 76, batch 76, Loss: 0.6176616549491882, Accuracy: 0.7352941176470588
Epoch 77, batch 77, Loss: 0.6468148231506348, Accuracy: 0.6617647058823529
Epoch 78, batch 78, Loss: 0.5515512824058533, Accuracy: 0.8088235294117647
Epoch 79, batch 79, Loss: 0.6186680793762207, Accuracy: 0.6764705882352942

Epoch 80, batch 80, Loss: 0.6074886322021484, Accuracy: 0.7205882352941176
Epoch 81, batch 81, Loss: 0.5334401726722717, Accuracy: 0.8088235294117647
Epoch 82, batch 82, Loss: 0.4950324296951294, Accuracy: 0.7941176470588235
Epoch 83, batch 83, Loss: 0.6022660732269287, Accuracy: 0.6323529411764706
Epoch 84, batch 84, Loss: 0.6895914673805237, Accuracy: 0.5882352941176471

Epoch 85, batch 85, Loss: 0.5449722409248352, Accuracy: 0.7941176470588235
Epoch 86, batch 86, Loss: 0.7240039706230164, Accuracy: 0.6617647058823529
Epoch 87, batch 87, Loss: 0.7931351065635681, Accuracy: 0.5441176470588235
Epoch 88, batch 88, Loss: 0.439056932926178, Accuracy: 0.8235294117647058
Epoch 89, batch 89, Loss: 0.9622436761856079, Accuracy: 0.7058823529411764

Epoch 90, batch 90, Loss: 0.8194980621337891, Accuracy: 0.6617647058823529
Epoch 91, batch 91, Loss: 0.6298388242721558, Accuracy: 0.7352941176470588
Epoch 92, batch 92, Loss: 0.6223805546760559, Accuracy: 0.6764705882352942
Epoch 93, batch 93, Loss: 0.6772202253341675, Accuracy: 0.6911764705882353
Epoch 94, batch 94, Loss: 0.7924103140830994, Accuracy: 0.5882352941176471

Epoch 95, batch 95, Loss: 0.7244994640350342, Accuracy: 0.6617647058823529
Epoch 96, batch 96, Loss: 0.5642513632774353, Accuracy: 0.7794117647058824
Epoch 97, batch 97, Loss: 0.6554926633834839, Accuracy: 0.6911764705882353
Epoch 98, batch 98, Loss: 0.5975630879402161, Accuracy: 0.6617647058823529
Epoch 99, batch 99, Loss: 0.6620434522628784, Accuracy: 0.7058823529411764

Epoch 100, batch 100, Loss: 0.6304236650466919, Accuracy: 0.6911764705882353
Epoch 101, batch 101, Loss: 0.628361701965332, Accuracy: 0.6176470588235294
Epoch 102, batch 102, Loss: 0.6348096132278442, Accuracy: 0.6764705882352942
Epoch 103, batch 103, Loss: 0.7426666617393494, Accuracy: 0.5882352941176471
Epoch 104, batch 104, Loss: 0.6363130211830139, Accuracy: 0.6323529411764706

Epoch 105, batch 105, Loss: 0.5891899466514587, Accuracy: 0.7058823529411764
Epoch 106, batch 106, Loss: 0.6882506012916565, Accuracy: 0.6176470588235294
Epoch 107, batch 107, Loss: 0.5684943199157715, Accuracy: 0.7058823529411764
Epoch 108, batch 108, Loss: 0.7723987698554993, Accuracy: 0.7058823529411764
Epoch 109, batch 109, Loss: 0.6524754166603088, Accuracy: 0.6911764705882353

Epoch 110, batch 110, Loss: 0.7875027060508728, Accuracy: 0.6470588235294118
Epoch 111, batch 111, Loss: 0.5606704950332642, Accuracy: 0.7058823529411764
Epoch 112, batch 112, Loss: 0.6086887121200562, Accuracy: 0.7205882352941176
Epoch 113, batch 113, Loss: 0.7047476768493652, Accuracy: 0.6617647058823529
Epoch 114, batch 114, Loss: 0.6946303844451904, Accuracy: 0.7058823529411764

Epoch 115, batch 115, Loss: 0.5665454268455505, Accuracy: 0.7352941176470588
Epoch 116, batch 116, Loss: 0.5349124073982239, Accuracy: 0.7647058823529411
Epoch 117, batch 117, Loss: 0.6171667575836182, Accuracy: 0.6176470588235294
Epoch 118, batch 118, Loss: 0.5080411434173584, Accuracy: 0.8088235294117647
Epoch 119, batch 119, Loss: 0.6095842719078064, Accuracy: 0.6617647058823529

Epoch 120, batch 120, Loss: 0.541385293006897, Accuracy: 0.6764705882352942
Epoch 121, batch 121, Loss: 0.6089362502098083, Accuracy: 0.7205882352941176
Epoch 122, batch 122, Loss: 0.5574497580528259, Accuracy: 0.6764705882352942
Epoch 123, batch 123, Loss: 0.7711561322212219, Accuracy: 0.5588235294117647
Epoch 124, batch 124, Loss: 0.5215069651603699, Accuracy: 0.8235294117647058

Epoch 125, batch 125, Loss: 0.6069925427436829, Accuracy: 0.7058823529411764
Epoch 126, batch 126, Loss: 0.7054392099380493, Accuracy: 0.75
Epoch 127, batch 127, Loss: 0.7299878597259521, Accuracy: 0.5588235294117647
Epoch 128, batch 128, Loss: 0.5321601033210754, Accuracy: 0.7941176470588235
Epoch 129, batch 129, Loss: 0.5093700885772705, Accuracy: 0.7647058823529411

Epoch 130, batch 130, Loss: 0.974639356136322, Accuracy: 0.7647058823529411
Epoch 131, batch 131, Loss: 0.4124544560909271, Accuracy: 0.9411764705882353
Epoch 132, batch 132, Loss: 0.39557981491088867, Accuracy: 0.9264705882352942
