Streaming output truncated to the last 5000 lines.
Epoch 89, Loss: 0.6342859268188477, Accuracy: 0.6764705882352942
Epoch 90, Loss: 0.6506149768829346, Accuracy: 0.5147058823529411
Epoch 91, Loss: 0.5987787246704102, Accuracy: 0.7352941176470588
Epoch 92, Loss: 0.6519213318824768, Accuracy: 0.6323529411764706
Epoch 93, Loss: 0.68791663646698, Accuracy: 0.4411764705882353
Epoch 94, Loss: 0.5635910034179688, Accuracy: 0.75
Epoch 95, Loss: 0.6253871321678162, Accuracy: 0.6911764705882353
Epoch 96, Loss: 0.45570868253707886, Accuracy: 0.8529411764705882
Epoch 97, Loss: 0.6782323718070984, Accuracy: 0.5
Epoch 98, Loss: 0.6740251183509827, Accuracy: 0.5735294117647058
Epoch 99, Loss: 0.7138917446136475, Accuracy: 0.5441176470588235
Epoch 100, Loss: 0.7565913200378418, Accuracy: 0.5
Epoch 101, Loss: 0.7309228777885437, Accuracy: 0.5
Epoch 102, Loss: 0.5225877165794373, Accuracy: 0.7941176470588235
Epoch 103, Loss: 0.6626984477043152, Accuracy: 0.5882352941176471
Epoch 104, Loss: 0.45546719431877136, Accuracy: 0.9264705882352942
Epoch 105, Loss: 0.5406358242034912, Accuracy: 0.7647058823529411
Epoch 106, Loss: 0.6676878333091736, Accuracy: 0.5735294117647058
Epoch 107, Loss: 0.6713206768035889, Accuracy: 0.6029411764705882
Epoch 108, Loss: 0.6046079993247986, Accuracy: 0.7058823529411764
Epoch 109, Loss: 0.5924667716026306, Accuracy: 0.8382352941176471
Epoch 110, Loss: 0.6648659706115723, Accuracy: 0.5441176470588235
Epoch 111, Loss: 0.505670428276062, Accuracy: 0.75
Epoch 112, Loss: 0.6915032267570496, Accuracy: 0.5735294117647058
Epoch 113, Loss: 0.7012472152709961, Accuracy: 0.5588235294117647
Epoch 114, Loss: 0.6902596354484558, Accuracy: 0.4264705882352941
Epoch 115, Loss: 0.6828166842460632, Accuracy: 0.5735294117647058
Epoch 116, Loss: 0.6664236187934875, Accuracy: 0.6470588235294118
Epoch 117, Loss: 0.6389110684394836, Accuracy: 0.6617647058823529
Epoch 118, Loss: 0.7975251078605652, Accuracy: 0.2647058823529412
Epoch 119, Loss: 0.6202683448791504, Accuracy: 0.6764705882352942
Epoch 120, Loss: 0.5669037699699402, Accuracy: 0.7794117647058824
